22,14
4,0
4,9
5,1
8,0
19,0
3,13
5,10
8,9
14,13
0,5
2,11
7,1
18,1
21,0
6,11
16,13
7,10
18,10
17,5
9,1
5,12
8,11
0,7
2,4
13,1
6,4
6,13
7,12
18,12
5,5
8,4
19,4
0,0
11,0
0,9
15,0
1,10
7,5
18,5
21,4
3,1
14,1
17,0
12,13
3,10
14,10
19,6
9,5
0,2
16,1
1,12
16,10
20,1
20,10
5,0
3,12
5,9
4,11
14,12
1,5
6,1
7,0
18,0
15,13
2,13
16,12
7,9
20,12
3,5
17,4
4,4
9,0
5,11
4,13
10,1
13,0
8,13
10,10
1,7
19,13
2,6
7,11
18,11
20,5
12,1
21,13
12,10
5,4
5,13
10,12
1,9
0,11
7,4
18,4
21,6
3,0
14,0
12,12
3,9
0,4
16,0
1,11
0,13
2,10
11,13
20,0
6,10
4,1
3,11
14,11
4,10
8,1
19,1
17,13
8,10
1,4
0,6
1,13
2,12
21,1
6,12
20,11
3,4
4,12
17,6
10,0
8,12
1,6
2,5
6,5
20,4
12,0
20,13
7,13
18,13
4,5
8,5
19,5
9,4
0,1
11,1
10,11
9,13
0,10
2,7
15,1
13,13
20,6
18,6
21,5
12,11
17,1
0,3
10,13
0,12
2,9
6,0
6,9
16,11
